File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\xampp\htdocs\CSC2024\secure\process_laptops.php,46,25,0,0,21,0,0,0,0,0
C:\xampp\htdocs\CSC2024\secure\process_logout.php,85,45,13,1,37,0,3,6,0,0
C:\xampp\htdocs\CSC2024\secure\process_new_about.php,21,15,13,0,6,0,0,0,0,0
C:\xampp\htdocs\CSC2024\secure\process_new_company_history.php,21,15,13,0,6,0,0,0,0,0
C:\xampp\htdocs\CSC2024\secure\process_new_index.php,28,18,15,1,8,0,2,4,0,0
C:\xampp\htdocs\CSC2024\secure\products.php,63,35,4,1,28,0,0,0,0,0
C:\xampp\htdocs\CSC2024\secure\resise_image.php,95,55,47,10,13,2,27,128,0,0
C:\xampp\htdocs\CSC2024\secure\securefooter.php,49,27,2,0,22,0,0,0,0,0
C:\xampp\htdocs\CSC2024\secure\secureheader.php,24,16,0,0,8,0,0,0,0,0
C:\xampp\htdocs\CSC2024\secure\thanks_contact.php,68,42,2,0,26,0,0,0,0,0
C:\xampp\htdocs\CSC2024\styles\css.css,131,102,85,0,24,5,5,81,0,0
C:\xampp\htdocs\CSC2024\styles\tables.css,569,526,372,0,33,0,10,22,3,7
