Word,Count
the,16
,7
button,6
----------------------------,4
------------------,4
to,4
a,4
THE,3
for,3
give,3
STYLE,3
of,2
PUT,2
styling,2
tables,2
INVALIDATES,2
drop,2
shadow,2
YOUR,2
STYLESHEET,2
RULE,2
IE6,2
ONLY,2
required,2
size,2
THIS,2
AS,2
ON,2
menu,1
**NOW,1
hovered,1
HOVER,1
as,1
Document,1
darker,1
when,1
forces,1
default,1
change,1
Styles,1
colour,1
FOCUS,1
\fonts.googleapis.com/css?family=Ubuntu:300,400,500,700);\,1
cursor,1
\corners,\,1
make,1
little,1
add,1
padding,1
alter,1
will,1
BUTTON'S,1
Sub,1
ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js'></script>,1
appear,1
curved,1
reduce,1
border,1
or,1
text,1
some,1
pushed,1
AND,1
style,1
background,1
effect,1
is,1
\fonts.googleapis.com/css?family=Open+Sans:400,600,300);\,1
CSS,1
hand,1
Base,1
browser,1
STATES**,1
inside,1
